                  Header
Time              K.E              T      
    0.000000    35128.644531   309.853302 
  100.000000    35737.015625   315.219452 
  200.000000    35401.789062   312.262573 
  300.000000    35717.289062   315.045502 
  400.000000    35252.562500   310.946320 
  500.000000    35242.996094   310.861969 
  600.000000    34734.894531   306.380219 
  700.000000    35213.574219   310.602386 
  800.000000    35101.480469   309.613678 
  900.000000    35575.742188   313.796936 
 1000.000000    34650.160156   305.632812 
 1100.000000    35091.992188   309.529999 
 1200.000000    35462.394531   312.797180 
 1300.000000    35442.222656   312.619202 
 1400.000000    34580.859375   305.021515 
 1500.000000    35531.574219   313.407349 
 1600.000000    35388.187500   312.142609 
 1700.000000    35619.085938   314.179260 
 1800.000000    35180.031250   310.306549 
 1900.000000    34810.363281   307.045898 
 2000.000000    35348.480469   311.792358 
 2100.000000    34975.898438   308.505981 
 2200.000000    34657.281250   305.695618 
 2300.000000    35226.750000   310.718689 
 2400.000000    35817.800781   315.932007 
 2500.000000    35010.031250   308.807098 
 2600.000000    35494.703125   313.082153 
 2700.000000    35220.531250   310.663788 
 2800.000000    35415.890625   312.386963 
 2900.000000    35304.578125   311.405090 
 3000.000000    35037.414062   309.048584 
 3100.000000    35459.179688   312.768799 
 3200.000000    34557.679688   304.817078 
 3300.000000    35404.218750   312.284027 
 3400.000000    35710.128906   314.982330 
 3500.000000    34878.839844   307.649841 
 3600.000000    35188.066406   310.377472 
 3700.000000    35698.312500   314.878052 
 3800.000000    35140.347656   309.956512 
 3900.000000    35524.386719   313.343994 
 4000.000000    35276.375000   311.156403 
 4100.000000    35099.226562   309.593811 
 4200.000000    34723.085938   306.276031 
 4300.000000    34716.734375   306.220093 
 4400.000000    34980.226562   308.544159 
 4500.000000    35174.859375   310.260986 
 4600.000000    35319.167969   311.533813 
 4700.000000    35486.808594   313.012512 
 4800.000000    34770.648438   306.695618 
 4900.000000    35587.128906   313.897400 
 5000.000000    35208.359375   310.556427 
 5100.000000    35329.824219   311.627808 
 5200.000000    35344.410156   311.756470 
 5300.000000    35413.554688   312.366364 
 5400.000000    35358.558594   311.881256 
 5500.000000    35225.046875   310.703583 
 5600.000000    34783.015625   306.804657 
 5700.000000    35063.582031   309.279419 
 5800.000000    35263.304688   311.041046 
 5900.000000    35276.664062   311.158936 
 6000.000000    35238.000000   310.817871 
 6100.000000    35130.621094   309.870728 
 6200.000000    35546.191406   313.536285 
 6300.000000    35734.234375   315.194885 
 6400.000000    35286.195312   311.242981 
 6500.000000    34904.714844   307.878143 
 6600.000000    35251.699219   310.938721 
 6700.000000    35300.535156   311.369507 
 6800.000000    35008.664062   308.795013 
 6900.000000    35275.281250   311.146759 
 7000.000000    35259.507812   311.007599 
 7100.000000    35563.089844   313.685394 
 7200.000000    35882.320312   316.501129 
 7300.000000    35051.507812   309.172943 
 7400.000000    35505.718750   313.179321 
 7500.000000    35449.828125   312.686310 
 7600.000000    34399.953125   303.425842 
 7700.000000    34749.144531   306.505951 
 7800.000000    35168.636719   310.206055 
 7900.000000    35058.523438   309.234833 
 8000.000000    35538.960938   313.472473 
 8100.000000    35484.121094   312.988831 
 8200.000000    34978.898438   308.532440 
 8300.000000    35229.359375   310.741669 
 8400.000000    34598.664062   305.178619 
 8500.000000    34571.164062   304.936035 
 8600.000000    35076.054688   309.389435 
 8700.000000    35517.066406   313.279419 
 8800.000000    35048.156250   309.143372 
 8900.000000    35320.015625   311.541321 
 9000.000000    35498.218750   313.113129 
 9100.000000    35033.988281   309.018372 
 9200.000000    34997.558594   308.697052 
 9300.000000    35258.191406   310.995972 
 9400.000000    34881.957031   307.677338 
 9500.000000    34993.523438   308.661469 
 9600.000000    35327.343750   311.605927 
 9700.000000    35498.796875   313.118256 
 9800.000000    34848.792969   307.384888 
 9900.000000    35149.519531   310.037445 
10000.000000    34620.789062   305.373749 
